month,L Income,L 2025,L 2030,L 2035,L 2040,L 2045,L 2050,L 2055,L 2060,L 2065,G Fund,F Fund,U.S. Aggregate Index,C Fund,S&P 500,S Fund,DJ TSM,I Fund,EAFE
October 2022,1.98,3.07,4.52,4.91,5.32,5.66,6.02,7.36,7.36,7.36,0.34,-1.26,-1.30,8.10,8.10,8.59,8.53,5.98,5.38
September 2022,-2.33,-3.98,-5.85,-6.44,-7.01,-7.50,-7.97,-9.29,-9.29,-9.29,0.28,-4.31,-4.32,-9.21,-9.21,-9.91,-9.93,-9.40,-9.35
August 2022,-1.04,-1.83,-2.74,-3.03,-3.30,-3.55,-3.77,-4.36,-4.36,-4.36,0.25,-2.80,-2.83,-4.08,-4.08,-2.08,-2.11,-5.79,-4.75
July 2022,2.21,3.50,5.00,5.47,5.92,6.33,6.72,7.89,7.90,7.90,0.26,2.47,2.44,9.22,9.22,10.32,10.26,5.15,4.98
June 2022,-1.60,-2.98,-4.37,-4.84,-5.29,-5.69,-6.07,-7.25,-7.25,-7.25,0.29,-1.94,-1.57,-6.55,-8.25,-7.95,-9.26,-8.21,-9.28
May 2022,0.04,-0.15,-0.35,-0.41,-0.48,-0.54,-0.61,-0.89,-0.89,-0.89,0.21,1.13,0.64,-1.65,0.18,-3.53,-2.24,1.19,0.75
April 2022,-2.04,-3.59,-5.12,-5.63,-6.12,-6.56,-6.97,-8.11,-8.11,-8.11,0.20,-3.75,-3.79,-8.72,-8.72,-10.57,-10.58,-6.39,-6.47
March 2022,0.49,0.85,1.14,1.21,1.29,1.34,1.42,1.88,1.88,1.87,0.17,-2.73,-2.78,3.72,3.71,0.90,0.86,-0.33,0.64
February 2022,-0.51,-1.01,-1.45,-1.61,-1.76,-1.89,-2.01,-2.38,-2.38,-2.38,0.14,-1.08,-1.12,-2.99,-2.99,0.03,-0.02,-2.61,-1.77
January 2022,-1.28,-2.37,-3.33,-3.68,-4.01,-4.32,-4.60,-5.41,-5.42,-5.42,0.13,-2.09,-2.15,-5.18,-5.17,-10.07,-10.09,-3.96,-4.83
December 2021,1.06,1.90,2.54,2.76,2.99,3.17,3.37,4.08,4.08,4.08,0.12,-0.32,-0.26,4.48,4.48,0.58,0.55,5.10,5.12
November 2021,-0.50,-1.09,-1.55,-1.72,-1.89,-2.04,-2.20,-2.71,-2.71,-2.71,0.13,0.30,0.30,-0.69,-0.69,-5.03,-5.03,-4.66,-4.65
October 2021,1.28,2.33,3.14,3.43,3.72,3.97,4.22,5.12,5.11,5.11,0.13,-0.04,-0.03,7.00,7.01,5.43,5.42,2.46,2.46
September 2021,-0.87,-1.78,-2.37,-2.61,-2.85,-3.05,-3.25,-3.87,-3.87,-3.87,0.11,-0.86,-0.87,-4.65,-4.65,-4.00,-4.01,-2.81,-2.90
August 2021,0.63,1.16,1.50,1.63,1.77,1.88,1.99,2.42,2.42,2.41,0.11,-0.18,-0.19,3.03,3.04,2.00,2.00,1.76,1.76
July 2021,0.47,0.75,0.92,0.99,1.05,1.10,1.15,1.26,1.26,1.26,0.13,1.15,1.12,2.37,2.38,-1.24,-1.23,0.72,0.75
June 2021,0.39,0.64,0.79,0.86,0.92,0.98,1.03,1.17,1.17,1.17,0.12,0.74,0.70,2.33,2.33,3.46,3.46,-1.44,-1.13
May 2021,0.47,0.81,1.00,1.08,1.16,1.22,1.28,1.50,1.50,1.50,0.13,0.34,0.33,0.69,0.70,-0.66,-0.66,3.61,3.26
April 2021,1.14,2.15,2.74,2.99,3.24,3.45,3.66,4.35,4.35,4.35,0.13,0.82,0.79,5.33,5.34,4.23,4.22,3.09,3.01
